Datum,Type,Source,Beschreibung,Change,Total,Credit
"8 Jul, 2024",Purchase,Wallet,Half-Life,-CHF 1.05,1.05,Nein
"1 Jul, 2024",Purchase,Wallet,The Orange Box,-CHF 2.19,2.19,Nein
"24 Jun, 2024",4 Market Transactions,Wallet,Steam Community Market,+CHF 2.66,2.66,Ja
"27 Nov, 2023",Market Transaction,Wallet,Steam Community Market,-CHF 0.84,0.84,Nein
"22 Nov, 2023",Market Transaction,Wallet,Steam Community Market,-CHF 0.30,0.30,Nein
"17 Nov, 2023",Market Transaction,Wallet,Steam Community Market,-CHF 0.87,0.87,Nein
"7 Oct, 2023",Market Transaction,Wallet,Steam Community Market,-CHF 17.05,17.05,Nein
"7 Oct, 2023",11 Market Transactions,Wallet,Steam Community Market,+CHF 17.38,17.38,Ja
"6 Oct, 2023",Market Transaction,Wallet,Steam Community Market,-CHF 0.48,0.48,Nein
"12 Jun, 2023",Market Transaction,Wallet,Steam Community Market,+CHF 0.67,0.67,Ja
"5 Jun, 2023",2 Market Transactions,Wallet,Steam Community Market,+CHF 3.14,3.14,Ja
"31 May, 2023",Market Transaction,Wallet,Steam Community Market,-CHF 18.70,18.70,Nein
"29 May, 2023",21 Market Transactions,Wallet,Steam Community Market,+CHF 19.87,19.87,Ja
"25 Apr, 2023",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 5.25,5.25,Nein
"30 Mar, 2023",2 Market Transactions,Wallet,Steam Community Market,+CHF 2.18,2.18,Ja
"29 Mar, 2023",Purchase,Wallet,Celeste,-CHF 4.75,4.75,Nein
"29 Mar, 2023",Purchase,PayPal,Purchased CHF 5.-- Wallet Credit,+CHF 5.--,5.,Nein
"28 Mar, 2023",3 Market Transactions,Wallet,Steam Community Market,+CHF 1.80,1.80,Ja
"21 Jan, 2023",Purchase,Wallet,Muse Dash,-CHF 0.90,0.90,Nein
"24 Nov, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 0.02,0.02,Ja
"22 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 13.75,13.75,Nein
"21 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"15 Sep, 2021",2 Market Transactions,Wallet,Steam Community Market,+CHF 11.57,11.57,Ja
"15 Sep, 2021",Market Transaction,Wallet,Steam Community Market,-CHF 10.17,10.17,Nein
"15 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"11 Sep, 2021",9 Market Transactions,Wallet,Steam Community Market,-CHF 4.27,4.27,Nein
"10 Sep, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 4.44,4.44,Ja
"10 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 0.90,0.90,Nein
"10 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 0.90,0.90,Nein
"10 Sep, 2021",Market Transaction,Wallet,Steam Community Market,-CHF 1.04,1.04,Nein
"10 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 0.90,0.90,Nein
"10 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 0.90,0.90,Nein
"10 Sep, 2021",2 Market Transactions,Wallet,Steam Community Market,-CHF 0.70,0.70,Nein
"10 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 0.90,0.90,Nein
"9 Sep, 2021",7 Market Transactions,Wallet,Steam Community Market,-CHF 6.77,6.77,Nein
"7 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 6.90,6.90,Nein
"7 Sep, 2021",3 Market Transactions,Wallet,Steam Community Market,-CHF 1.56,1.56,Nein
"3 Sep, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"30 Aug, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 0.36,0.36,Ja
"30 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"30 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"30 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"30 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"29 Aug, 2021",5 Market Transactions,Wallet,Steam Community Market,-CHF 2.50,2.50,Nein
"29 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"28 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"28 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"28 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"28 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"28 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"26 Aug, 2021",10 Market Transactions,Wallet,Steam Community Market,-CHF 19.--,19.,Nein
"26 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"26 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"26 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"26 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"26 Aug, 2021",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.30,2.30,Nein
"24 Aug, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 96.62,96.62,Ja
"24 Aug, 2021",Market Transaction,Wallet,Steam Community Market,-CHF 0.87,0.87,Nein
"23 Aug, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 1.78,1.78,Ja
"22 Aug, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 0.46,0.46,Ja
"29 Jun, 2021",2 Market Transactions,Wallet,Steam Community Market,-CHF 4.13,4.13,Nein
"29 Jun, 2021",10 Market Transactions,Wallet,Steam Community Market,+CHF 3.67,3.67,Ja
"21 Jun, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 0.25,0.25,Ja
"19 Jun, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 0.27,0.27,Ja
"6 Jun, 2021",Purchase,Wallet,Borderlands 2 ROW											,-CHF 16.76,16.76,Nein
"6 Jun, 2021",Purchase,PayPal,Purchased CHF 5.-- Wallet Credit,+CHF 5.--,5.,Nein
"6 Jun, 2021",Purchase,PayPal,Purchased CHF 10.-- Wallet Credit,+CHF 10.--,10.,Nein
"29 May, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 1.54,1.54,Ja
"5 Feb, 2021",Market Transaction,Wallet,Steam Community Market,-CHF 103.92,103.92,Nein
"5 Feb, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 1.34,1.34,Ja
"3 Feb, 2021",Market Transaction,Wallet,Steam Community Market,+CHF 48.27,48.27,Ja
"30 Jan, 2021",28 Market Transactions,Wallet,Steam Community Market,+CHF 51.11,51.11,Ja
"21 Nov, 2020",Market Transaction,Wallet,Steam Community Market,-CHF 0.55,0.55,Nein
"16 Oct, 2020",Market Transaction,Wallet,Steam Community Market,+CHF 0.05,0.05,Ja
"15 Oct, 2020",Market Transaction,Wallet,Steam Community Market,+CHF 0.05,0.05,Ja
"11 Oct, 2020",2 Market Transactions,Wallet,Steam Community Market,+CHF 0.84,0.84,Ja
"28 Sep, 2020",2 Market Transactions,Wallet,Steam Community Market,+CHF 0.04,0.04,Ja
"28 Sep, 2020",Market Transaction,Wallet,Steam Community Market,-CHF 0.61,0.61,Nein
"27 Sep, 2020",9 Market Transactions,Wallet,Steam Community Market,+CHF 3.61,3.61,Ja
"14 Sep, 2020",Market Transaction,Wallet,Steam Community Market,-CHF 0.98,0.98,Nein
"28 Aug, 2020",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.45,2.45,Nein
"13 Aug, 2020",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.45,2.45,Nein
"13 Aug, 2020",Purchase,MasterCard **98,Purchased CHF 5.-- Wallet Credit,+CHF 5.--,5.,Nein
"6 Aug, 2020",Market Transaction,Wallet,Steam Community Market,-CHF 0.16,0.16,Nein
"5 May, 2020",Market Transaction,Wallet,Steam Community Market,+CHF 0.61,0.61,Ja
"28 Nov, 2019",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 0.95,0.95,Nein
"23 Nov, 2019",Market Transaction,Wallet,Steam Community Market,-CHF 3.59,3.59,Nein
"23 Nov, 2019",Purchase,PayPal,Purchased CHF 5.-- Wallet Credit,+CHF 5.--,5.,Nein
"21 Dec, 2018",Purchase,CHF 1.75 Wallet CHF 1.75 PayPal,Nidhogg Store,-CHF 1.75,3.50,Nein
"11 Nov, 2018",Market Transaction,Wallet,Steam Community Market,+CHF 0.12,0.12,Ja
"21 Oct, 2018",Market Transaction,Wallet,Steam Community Market,-CHF 0.64,0.64,Nein
"14 Oct, 2018",Market Transaction,Wallet,Steam Community Market,+CHF 0.27,0.27,Ja
"8 Oct, 2018",2 Market Transactions,Wallet,Steam Community Market,+CHF 2.--,2.,Ja
"21 Jul, 2018",Purchase,CHF 6.71 Wallet CHF 8.29 PayPal,Plague Inc: Evolved,-CHF 6.71,15.,Nein
"27 Jun, 2018",Purchase,Wallet,PLAYERUNKNOWN'S BATTLEGROUNDS - Worldwide Package,-CHF 21.43,21.43,Nein
"27 Jun, 2018",Purchase,PaySafeCard,Purchased CHF 25.-- Wallet Credit,+CHF 25.--,25.,Nein
"25 Jun, 2018",Purchase,Wallet,Audiosurf,-CHF 2.50,2.50,Nein
"15 May, 2018",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 1.95,1.95,Nein
"15 May, 2018",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 1.95,1.95,Nein
"14 May, 2018",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 1.95,1.95,Nein
"14 May, 2018",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 1.95,1.95,Nein
"14 May, 2018",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 1.95,1.95,Nein
"30 Apr, 2018",Market Transaction,Wallet,Steam Community Market,-CHF 0.71,0.71,Nein
"27 Feb, 2018",2 Market Transactions,Wallet,Steam Community Market,+CHF 1.21,1.21,Ja
"12 Feb, 2018",Market Transaction,Wallet,Steam Community Market,-CHF 0.17,0.17,Nein
"1 Feb, 2018",Purchase,Wallet,BATTALION: Legacy,-CHF 13.95,13.95,Nein
"25 Dec, 2017",Purchase,Wallet,Pajama Sam 3: You Are What You Eat From Your Head To Your Feet,-CHF 2.80,2.80,Nein
"30 Oct, 2017",Purchase,Wallet,Reflex,-CHF 5.--,5.,Nein
"2 Oct, 2017",Market Transaction,Wallet,Steam Community Market,-CHF 5.76,5.76,Nein
"12 Sep, 2017",Purchase,Wallet,Quake Champions - Champions Pack,-CHF 29.99,29.99,Nein
"7 May, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 2.14,2.14,Ja
"18 Apr, 2017",In-Game Purchase,Wallet,Counter-Strike 2,-CHF 2.--,2.,Nein
"9 Apr, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 1.19,1.19,Ja
"22 Mar, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 3.26,3.26,Ja
"20 Mar, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 24.49,24.49,Ja
"20 Feb, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 0.53,0.53,Ja
"19 Feb, 2017",Market Transaction,Wallet,Steam Community Market,-CHF 2.08,2.08,Nein
"19 Feb, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 9.13,9.13,Ja
"12 Feb, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 6.79,6.79,Ja
"7 Feb, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 6.72,6.72,Ja
"4 Feb, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 6.60,6.60,Ja
"2 Feb, 2017",Purchase,Wallet,Rocket League® - Masamune,-CHF 2.--,2.,Nein
"22 Jan, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 0.95,0.95,Ja
"17 Jan, 2017",Market Transaction,Wallet,Steam Community Market,+CHF 6.31,6.31,Ja
"29 Dec, 2016",2 Market Transactions,Wallet,Steam Community Market,+CHF 9.08,9.08,Ja
"1 Nov, 2016",Market Transaction,Wallet,Steam Community Market,-CHF 2.19,2.19,Nein
"28 Oct, 2016",3 Market Transactions,Wallet,Steam Community Market,-CHF 2.34,2.34,Nein
"4 Oct, 2016",Market Transaction,Wallet,Steam Community Market,+CHF 5.22,5.22,Ja
"1 Sep, 2016",Market Transaction,Wallet,Steam Community Market,-CHF 0.42,0.42,Nein
"5 Jul, 2016",2 Market Transactions,Wallet,Steam Community Market,+CHF 0.34,0.34,Ja
"24 Jun, 2016",Market Transaction,Wallet,Steam Community Market,-CHF 5.65,5.65,Nein
"24 Jun, 2016",Market Transaction,Wallet,Steam Community Market,+CHF 3.06,3.06,Ja
"14 May, 2016",Market Transaction,Wallet,Steam Community Market,-CHF 6.99,6.99,Nein
"10 May, 2016",Market Transaction,Wallet,Steam Community Market,+CHF 1.10,1.10,Ja
"26 Apr, 2016",Market Transaction,Wallet,Steam Community Market,-CHF 98.73,98.73,Nein
"24 Apr, 2016",Market Transaction,Wallet,Steam Community Market,+CHF 52.16,52.16,Ja
"20 Apr, 2016",2 Market Transactions,Wallet,Steam Community Market,+CHF 17.20,17.20,Ja
